S,M,L,virus,strain,host,country,region,date,notes,ref,ref2
AF291702,AF291703,AF291704,,Chile-9717869,,Chile,,1997,Refseq: NC_003466,https://journals.asm.org/doi/10.1128/jvi.76.8.3765-3773.2002,
AF324902,AF324901,AF324900,,AH-1,Homo_sapiens,Argentina,El Bolson,1995-04,"AH1 from Lopez et al 1996, sample collected March-April 1995",https://doi.org/10.1099/0022-1317-83-9-2117,
AF325966,NA,NA,,AND_Nort,Oligoryzomys_chacoensis,Argentina,Salta,1997-12,,https://doi.org/10.4269/ajtmh.2002.66.713,
AF482713,AF028025,NA,Bermejo,Oc22531,Oligoryzomys_chacoensis,Argentina,Oran,1997,,https://doi.org/10.1128/jvi.76.8.3765-3773.2002,
AF482714,AF028022,NA,Lechiguanas,Of22819,Oligoryzomys_flavescens,Argentina,Entre Ríos,2002,1997 or 2002?,https://doi.org/10.1128/jvi.76.8.3765-3773.2002,
AF482715,AF028024,NA,Oran,Ol22996,Oligoryzomys_longicaudatus,Argentina,Salta,2002,1997 or 2002?,https://doi.org/10.1128/jvi.76.8.3765-3773.2002,
AF482716,AF028027,NA,Maciel,Bo13796,Necromys_benefactus,Argentina,Maciel,1997,,https://doi.org/10.1128/jvi.76.8.3765-3773.2002,
AF482717,AF028028,NA,Pergamino,Aa14403,A. azarae,Argentina,Pergamino,1997,,https://doi.org/10.1128/jvi.76.8.3765-3773.2002,
AF482712,,,,9718133,Homo_sapiens,Argentina,,,,https://doi.org/10.1128/jvi.76.8.3765-3773.2002,
,AF028026,,,Ol23133,Oligoryzomys_longicaudatus,Argentina,,,,https://doi.org/10.1128/jvi.76.8.3765-3773.2002,
AF482711,AF028023,,,Hu39694,Homo_sapiens,Argentina,Pergamino,1997,,https://doi.org/10.1128/jvi.76.8.3765-3773.2002,
,,,ANDV,Hu-3337,Homo_sapiens,Switzerland,ex_Hondius,2026-05-06,,https://virological.org/t/complete-sequence-of-orthohantavirus-andesense-virus-swiss-resident-2026/1023,
AY228237,AY228238,AY228239,,CHI-7913,Homo_sapiens,Chile,,1999-09-13,,https://doi.org/10.3201/eid0807.010277,
DQ345763,,PP058738,Neembucu,807266,Oligoryzomys_chacoensis,Paraguay,,1997,rodents collected in Paraguay from May 1996 to May 1997,https://pubmed.ncbi.nlm.nih.gov/17172380/,
EF571895,,,Araraquara-like,P5/Cajuru,Homo_sapiens,Brazil,Sao_Paulo,,,,
KY659432,,KY659431,,ANDV_LS-CH-2016,Homo_sapiens,Switzerland,ex_Chile,2016-12-26,unpublished?,,
MN258223,MN258189,MN258156,,Epilink/96_2/6/19,Homo_sapiens,Argentina,Río_Negro,1996-11-08,,https://doi.org/10.1056/NEJMoa2009040,
